id;price;speed;hd;ram;screen;cd;multi;premium;ads;trend
1;3116;25;80;4;14;no;no;yes;94;2
2;2447;33;85;2;14;no;no;yes;94;6
3;3605;25;170;4;15;no;no;yes;94;1
4;5414;25;170;8;14;no;no;no;94;5
5;3850;33;340;16;14;no;no;yes;94;5
6;1747;66;340;16;14;no;no;yes;94;4
7;2046;25;170;4;14;yes;no;yes;94;6
8;3360;50;85;2;14;no;no;yes;94;1
9;2425;50;210;8;14;no;no;yes;94;2
10;4441;50;210;4;15;no;no;yes;94;6
11;2276;33;170;8;15;no;no;yes;94;5
12;4345;66;210;8;14;no;no;yes;94;6
13;5299;50;130;4;14;no;no;yes;94;4
14;1541;25;245;8;14;no;no;yes;94;1
15;3379;50;212;8;14;no;no;yes;94;2
16;4071;50;130;4;14;no;no;yes;94;3
17;3856;33;85;2;14;no;no;yes;94;2
18;3600;33;210;4;15;no;no;yes;94;6
19;3824;33;250;4;15;no;no;yes;94;2
20;4736;66;452;8;14;no;no;yes;94;5
21;2616;33;130;4;14;no;no;yes;94;5
22;5063;66;130;4;14;no;no;yes;94;3
23;5023;25;340;16;14;no;no;yes;94;2
24;2344;50;210;4;17;no;no;yes;94;6
25;4621;50;452;8;14;no;no;yes;94;4
26;3227;33;80;2;14;no;no;yes;94;4
27;3937;33;130;4;14;no;no;yes;94;2
28;3052;33;452;8;14;no;no;yes;94;3
29;5496;33;340;16;14;no;no;yes;94;2
30;2311;66;245;8;14;no;no;yes;94;4
31;3041;33;170;4;14;yes;no;yes;94;2
32;5234;25;130;4;14;no;no;yes;94;6
33;2293;33;210;8;17;no;no;yes;94;1
34;4641;50;210;4;15;no;no;yes;94;5
35;4017;33;170;4;14;no;no;yes;94;1
36;3703;66;210;4;15;no;no;yes;94;2
37;4221;66;210;8;14;no;no;yes;94;1
38;1848;66;500;8;14;no;no;yes;94;4
39;3526;50;210;8;14;no;no;yes;94;5
40;2675;50;210;8;14;no;no;yes;94;2
41;3942;50;245;8;14;no;no;yes;94;2
42;4732;66;500;8;15;no;no;yes;94;1
43;2044;33;212;8;14;no;no;yes;94;2
44;2461;33;210;8;14;no;no;yes;94;4
45;3342;50;340;16;14;no;no;yes;94;1
